Repère;Potentiel;Folios;De;Broche;Vers;Broche;Conducteurs;Longueur (mm)
103;L1;1, 2;-Q1;1;-F2;1;1;28,0
103A;;1;-Q1;2;-K1;1;1;30,0
103B;;1;-K1;2;-F1;1;1;30,0
103C;;1;-F1;2;-M1;U;1;39,5
104;L2;1;-Q1;3;;;1;18,0
104A;L3;1;-Q1;5;;;1;18,0
104B;;1;-Q1;4;-K1;3;1;30,0
104C;;1;-Q1;6;-K1;5;1;30,0
104D;;1;-K1;4;-F1;3;1;30,0
104E;;1;-K1;6;-F1;5;1;30,0
104F;;1;-F1;4;-M1;V;1;37,0
104G;;1;-F1;6;-M1;W;1;39,5
104H;;1;-M1;PE;-PE1;PE;1;6,0
202;;2;-F2;2;-F1;95;1;15,0
202A;;2;-F1;96;-S1;11;1;15,0
202B;;2;-S1;12;-S2;13;1;50,0
202C;;2;-S2;14;-K1;14;1;120,0
202D;N;2;-K1;A2;-H1;X2;1;85,0
